"Gender Inequality Index (GII)"
"41","Portugal","0.244"," a","0.209","..","0.183","..","0.132","..","0.121","..","0.122","..","0.108","..","0.105","..","0.095","..","0.088","..","0.088",".."
"37","Qatar","..","..","..","..","..","..","0.573","..","0.549","..","0.547","..","0.546","..","0.539","..","0.536","..","0.533","..","0.206",".."
"52","Romania","0.472"," a","..","..","0.356","..","0.358","..","0.355","..","0.343","..","0.344","..","0.343","..","0.342","..","0.339","..","0.311",".."
"49","Russian Federation","0.466"," a","0.423","..","0.359","..","0.311","..","0.305","..","0.294","..","0.289","..","0.287","..","0.272","..","0.267","..","0.257",".."
"158","Rwanda","0.584"," a","0.555","..","0.487","..","0.438","..","0.429","..","0.420","..","0.406","..","0.398","..","0.389","..","0.381","..","0.381",".."
"90","Saint Lucia","..","..","..","..","..","..","..","..","..","..","..","..","0.353","..","0.351","..","0.337","..","0.334","..","0.333",".."
"104","Samoa","..","..","0.471","..","0.459","..","0.414","..","0.451","..","0.446","..","0.440","..","0.408","..","0.403","..","0.365","..","0.365",".."
"143","Sao Tome and Principe","..","..","..","..","..","..","0.548","..","0.547","..","0.546","..","0.545","..","0.543","..","0.540","..","0.538","..","0.538",".."
"39","Saudi Arabia","..","..","..","..","0.671","..","0.630","..","0.620","..","0.616","..","0.263","..","0.257","..","0.245","..","0.234","..","0.234",".."
"164","Senegal","0.644"," a","0.640","..","0.628","..","0.570","..","0.563","..","0.535","..","0.529","..","0.523","..","0.520","..","0.515","..","0.515",".."
"67","Serbia","..","..","..","..","..","..","0.219","..","0.217","..","0.190","..","0.192","..","0.189","..","0.188","..","0.182","..","0.181",".."
"184","Sierra Leone","..","..","0.696","..","0.670","..","0.661","..","0.658","..","0.657","..","0.654","..","0.652","..","0.650","..","0.645","..","0.645",".."
"9","Singapore","0.250"," a","0.274","..","0.168","..","0.089","..","0.093","..","0.085","..","0.077","..","0.067","..","0.067","..","0.065","..","0.067",".."
"38","Slovakia","0.248"," a","0.219","..","0.189","..","0.198","..","0.196","..","0.187","..","0.186","..","0.187","..","0.185","..","0.180","..","0.180",".."
"25","Slovenia","0.246"," a","..","..","0.139","..","0.125","..","0.075","..","0.070","..","0.070","..","0.063","..","0.061","..","0.056","..","0.054",".."
"113","South Africa","0.425"," a","0.423","..","0.426","..","0.417","..","0.414","..","0.412","..","0.405","..","0.400","..","0.396","..","0.389","..","0.389",".."
"26","Spain","0.157"," a","0.119","..","0.117","..","0.104","..","0.099","..","0.095","..","0.092","..","0.087","..","0.083","..","0.080","..","0.080",".."
